REST,57168,57203,1,0
Tools selection,57574,57691,1,1
Adjust RIGHT hand pose,57691,57759,1,1
Localisation,57759,57785,1,1
Adjust RIGHT hand pose,57785,57895,1,1
Localisation,57954,57972,1,1
Execution,57972,58403,1,1
Tools selection,58403,58470,1,1
Adjust RIGHT hand pose,58470,58507,1,1
Localisation,58507,58544,1,1
Adjust RIGHT hand pose,58544,58580,1,1
Localisation,58580,58669,1,1
Pick and place,58669,58760,1,1
Localisation,58760,58790,1,2
Adjust RIGHT hand pose,58790,58830,1,2
Localisation,58830,58900,1,2
Adjust BASE pose,58626,58932,1,2
Tools selection,58987,59157,1,2
Execution,58900,59680,1,2
Pick and place,59680,59806,1,2
Adjust BASE pose,59852,59859,1,3
Adjust LEFT hand pose,59935,60158,1,3
Localisation,60158,60256,1,3
Adjust BASE pose,60250,60656,1,3
Execution,60256,61184,1,3
Localisation,61251,61296,1,3
Execution,61296,61572,1,3
Localisation,61572,61605,1,3
Execution,61605,61628,1,3
Pick and place,61628,61674,1,3
Localisation,61674,61710,1,3
Execution,61710,61795,1,3
Pick and place,61795,61901,1,3
Pick and place,62136,62236,1,0
Execution,62236,62277,1,0
Pick and place,62277,62344,1,0
Localisation,62344,62406,1,0
Pick and place,62406,62488,1,0
Localisation,62488,62508,1,0
Pick and place,62508,62576,1,0
Execution,62576,62641,1,0
Localisation,62641,62708,1,0
Execution,62708,62857,1,0
Localisation,62857,62911,1,4
Adjust BASE pose,62981,62988,1,4
Pick and place,62911,63451,1,4
Localisation,63451,63510,1,4
Execution,63510,63537,1,4
Localisation,63537,63601,1,5
Fail Pick,63857,64390,1,5
Pick and place,63601,64831,1,5
Localisation,64831,64866,1,5
Pick and place,64866,65398,1,5
Localisation,65398,65443,1,5
Execution,65443,65464,1,5
Localisation,65464,65503,1,5
Execution,65503,65516,1,5
Pick and place,65516,65570,1,5
Localisation,65570,65590,1,5
Execution,65590,65691,1,5
Pick and place,65691,65769,1,5
Execution,65769,65875,1,5
Localisation,65875,65939,1,6
Pick and place,65939,66010,1,6
Execution,66010,66084,1,6
Tools selection,66084,66193,1,6
Adjust RIGHT hand pose,66193,66284,1,6
Localisation,66284,66354,1,6
Execution,66354,66608,1,6
Adjust RIGHT hand pose,66664,66752,1,6
Tools selection,66608,66762,1,5
Adjust LEFT hand pose,66762,66800,1,5
Localisation,66752,66821,1,5
Execution,66821,67203,1,5
REST,67603,67701,1,0
REST,68783,68901,1,0
Adjust BASE pose,67566,67574,2,1
Adjust BASE pose,68635,69066,2,1
Tools selection,69221,69299,2,1
Adjust RIGHT hand pose,69299,69377,2,1
Localisation,69377,69451,2,1
Execution,69451,69904,2,1
Adjust RIGHT hand pose,69904,69961,2,1
Localisation,69961,70043,2,1
Adjust BASE pose,70009,70090,2,1
Pick and place,70043,70101,2,1
Tools selection,70101,70219,2,2
Adjust RIGHT hand pose,70219,70273,2,2
Adjust BASE pose,70292,70324,2,2
Localisation,70328,70385,2,2
Execution,70385,70530,2,2
Pick and place,70530,70625,2,2
Adjust LEFT hand pose,70654,70709,2,3
Localisation,70709,70808,2,3
Adjust BASE pose,70808,70854,2,3
Adjust BASE pose,70910,70931,2,3
Localisation,70942,71124,2,3
Execution,71124,71600,2,3
Localisation,71600,71706,2,3
Pick and place,71706,71774,2,3
Localisation,71774,71826,2,3
Execution,71826,71853,2,3
Fail Pick,71903,74254,2,0
Pick and place,74586,74660,2,0
Localisation,74391,74575,2,0
Pick and place,74575,74658,2,0
Execution,74658,74915,2,0
Localisation,74915,75225,2,4
Pick and place,75225,75895,2,4
Tools selection,75895,76013,2,4
Adjust BASE pose,76059,76123,2,4
Adjust LEFT hand pose,76013,76071,2,4
Localisation,76071,76228,2,4
Execution,76228,76835,2,4
Localisation,76835,76879,2,5
Adjust BASE pose,76950,77191,2,5
Pick and place,76879,77167,2,5
Adjust RIGHT hand pose,77167,77227,2,5
Localisation,77227,77279,2,5
Execution,77279,77753,2,5
Localisation,77753,77896,2,6
Pick and place,77896,78151,2,6
Tools selection,77191,78219,2,6
Adjust RIGHT hand pose,78219,78279,2,6
Localisation,78279,78451,2,6
Execution,78451,78820,2,6
Tools selection,78820,78875,2,5
Adjust RIGHT hand pose,78875,78945,2,5
Localisation,78945,78995,2,5
Execution,78995,79062,2,5
REST,79726,79826,2,0
Tools selection,80803,80932,3,0
Adjust RIGHT hand pose,80932,81008,3,0
Adjust BASE pose,81027,81071,3,0
Localisation,81008,81122,3,0
Execution,81122,81285,3,0
Tools selection,81285,81376,3,1
Adjust RIGHT hand pose,81376,81457,3,1
Adjust BASE pose,81462,82054,3,1
Localisation,81457,81495,3,1
Execution,81495,81682,3,1
Tools selection,81682,81750,3,1
Adjust RIGHT hand pose,81750,81798,3,1
Localisation,81798,81856,3,1
Execution,81856,82006,3,1
Tools selection,82006,82096,3,1
Adjust RIGHT hand pose,82096,82159,3,1
Adjust BASE pose,82204,82674,3,1
Localisation,82159,82231,3,1
Execution,82231,82324,3,1
Tools selection,82324,82387,3,1
Adjust RIGHT hand pose,82387,82436,3,1
Localisation,82436,82564,3,1
Pick and place,82564,82642,3,1
Tools selection,82642,82746,3,2
Adjust LEFT hand pose,82746,82863,3,2
Localisation,82863,82939,3,2
