REST,12735,12818,1,1
Tools selection,12817,12915,1,1
Adjust RIGHT hand pose,12915,13023,1,1
Adjust BASE pose,13057,13069,1,1
Localisation,13023,13112,1,1
Execution,13112,13376,1,1
Tools selection,13376,13467,1,1
Adjust RIGHT hand pose,13467,13545,1,1
Localisation,13545,13600,1,1
Pick and place,13600,13714,1,1
Localisation,13714,13907,1,2
Execution,13907,14174,1,2
Adjust BASE pose,13821,14199,1,2
Pick and place,14174,14303,1,2
Tools selection,14303,14440,1,3
Adjust LEFT hand pose,14440,14563,1,3
Adjust BASE pose,14602,14619,1,3
Adjust RIGHT hand pose,14563,14735,1,3
Localisation,14735,14863,1,3
Execution,14863,14932,1,3
Pick and place,14932,15209,1,3
Tools selection,15569,15685,1,4
Adjust RIGHT hand pose,15685,15792,1,4
Localisation,15792,15934,1,4
Tools selection,16083,16223,1,4
Adjust LEFT hand pose,16223,16375,1,4
Adjust RIGHT hand pose,16375,16414,1,4
Pick and place,15934,16563,1,4
Execution,16563,16811,1,4
Localisation,16811,16933,1,5
Pick and place,16933,17070,1,5
Execution,17070,17679,1,5
Tools selection,17753,17786,1,5
Adjust LEFT hand pose,17786,17899,1,5
Localisation,17899,17932,1,5
Execution,17932,18153,1,5
Localisation,18153,18373,1,6
Pick and place,18373,18795,1,6
Tools selection,18795,18990,1,6
Adjust RIGHT hand pose,18990,19067,1,6
Adjust BASE pose,19064,19099,1,6
Localisation,19067,19152,1,6
Execution,19152,19352,1,6
REST,19463,19571,1,0
REST,22115,22205,2,0
Adjust RIGHT hand pose,22246,22286,2,1
Adjust BASE pose,22271,22294,2,1
Localisation,22286,22346,2,1
Execution,22346,22570,2,1
Tools selection,22570,22648,2,1
Adjust RIGHT hand pose,22648,22792,2,1
Localisation,22792,22847,2,1
Pick and place,22847,22916,2,1
Adjust BASE pose,22926,22980,2,2
Localisation,22916,22992,2,2
Fail Exe,23040,23130,2,2
Execution,23130,23204,2,2
Pick and place,23204,23299,2,2
Tools selection,23299,23364,2,3
Adjust LEFT hand pose,23364,23431,2,3
Adjust BASE pose,23482,23493,2,3
Adjust RIGHT hand pose,23431,23528,2,3
Localisation,23528,23612,2,3
Execution,23612,23707,2,3
Pick and place,23707,23772,2,3
Adjust BASE pose,23910,23934,2,0
Tools selection,24053,24148,2,4
Adjust RIGHT hand pose,24148,24181,2,4
Localisation,24181,24425,2,4
Tools selection,24460,24532,2,4
Adjust BASE pose,24710,24721,2,4
Adjust LEFT hand pose,24532,24767,2,4
Pick and place,24425,24824,2,4
Execution,24824,24988,2,4
Localisation,24988,25182,2,5
Adjust BASE pose,25230,25255,2,5
Pick and place,25182,25298,2,5
Execution,25298,26264,2,5
Adjust BASE pose,26357,26381,2,5
Localisation,26264,26464,2,6
Pick and place,26464,26640,2,6
Tools selection,26640,26875,2,6
Adjust RIGHT hand pose,26875,26919,2,6
Adjust BASE pose,26941,26961,2,6
Localisation,26919,27028,2,6
Execution,27028,27213,2,6
REST,28848,28915,3,0
Tools selection,28915,28962,3,1
Adjust RIGHT hand pose,28962,29020,3,1
Adjust BASE pose,29027,29125,3,1
Localisation,29020,29141,3,1
Execution,29141,29306,3,1
Adjust BASE pose,29326,29374,3,1
Tools selection,29306,29380,3,1
Adjust RIGHT hand pose,29380,29482,3,1
Localisation,29482,29536,3,1
Pick and place,29536,29591,3,1
Adjust BASE pose,29675,29686,3,2
Localisation,29591,29730,3,2
Fail Exe,29780,29860,3,2
Fail Exe,29894,30105,3,2
Execution,30105,30175,3,2
Adjust BASE pose,29814,30184,3,2
Pick and place,30175,30246,3,2
Tools selection,30246,30351,3,3
Adjust LEFT hand pose,30351,30477,3,3
Localisation,30477,30517,3,3
Execution,30517,30689,3,3
Localisation,30689,30743,3,3
Pick and place,30743,30803,3,3
Fail Tool,30900,31000,3,3
Tools selection,31200,31300,3,4
Tools selection,31300,31419,3,4
Adjust LEFT hand pose,31419,31469,3,4
Adjust RIGHT hand pose,31469,31523,3,4
Localisation,31523,31560,3,4
Adjust BASE pose,31609,31621,3,4
Pick and place,31560,31714,3,4
Execution,31714,32364,3,4
Localisation,32364,32550,3,5
Adjust BASE pose,32592,32612,3,5
Pick and place,32550,32648,3,5
Execution,32648,33116,3,5
Localisation,33116,33368,3,6
