REST,16890,17010,1,0
Tools selection,17021,17102,1,1
Adjust RIGHT hand pose,17102,17187,1,1
Localisation,17187,17307,1,1
Execution,17307,17596,1,1
Tools selection,17596,17750,1,1
Adjust RIGHT hand pose,17750,17817,1,1
Localisation,17817,17913,1,1
Pick and place,17913,17977,1,1
Localisation,17977,18142,1,2
Execution,18060,18146,1,2
Pick and place,18142,18151,1,2
Localisation,18151,18237,1,2
Pick and place,18237,18314,1,2
Tools selection,18314,18516,1,3
Adjust LEFT hand pose,18516,18600,1,3
Adjust RIGHT hand pose,18600,18669,1,3
Localisation,18669,18734,1,3
Fail Exe,18105,18145,1,3
Execution,18734,19106,1,3
Pick and place,19106,19186,1,3
REST,19900,20040,1,0
Tools selection,20040,20344,1,4
Adjust LEFT hand pose,20344,20417,1,4
Adjust RIGHT hand pose,20417,20552,1,4
Localisation,20552,20635,1,4
Pick and place,20635,20917,1,4
Localisation,20917,20957,1,4
Execution,20957,21171,1,4
Localisation,21171,21282,1,4
Pick and place,21282,21316,1,4
Execution,21316,21570,1,4
Localisation,21570,21644,1,5
Pick and place,21644,21700,1,5
Localisation,21700,21771,1,5
Pick and place,21771,21995,1,5
Execution,21995,22428,1,5
Localisation,22428,22642,1,6
Pick and place,22642,22792,1,6
Tools selection,22792,22953,1,6
Adjust RIGHT hand pose,22953,22991,1,6
Localisation,22991,23176,1,6
Execution,23176,23615,1,6
REST,23830,23870,1,0
REST,26890,27120,2,0
Tools selection,27509,27636,2,1
Adjust RIGHT hand pose,27636,27684,2,1
Localisation,27684,27790,2,1
Execution,27790,28025,2,1
Tools selection,28025,28133,2,1
Adjust RIGHT hand pose,28133,28200,2,1
Localisation,28200,28259,2,1
Pick and place,28259,28349,2,1
Localisation,28349,28467,2,2
Pick and place,28467,28530,2,2
Tools selection,28530,28661,2,3
Adjust LEFT hand pose,28661,28711,2,3
Localisation,28711,28779,2,3
Execution,28779,28947,2,3
Adjust RIGHT hand pose,28947,28956,2,3
Localisation,28956,29008,2,3
Execution,29008,29016,2,3
Pick and place,29016,29074,2,3
REST,29400,29510,2,0
Tools selection,29494,29562,2,4
Adjust RIGHT hand pose,29562,29623,2,4
Tools selection,29623,29691,2,4
Adjust LEFT hand pose,29691,29734,2,4
Adjust RIGHT hand pose,29734,29764,2,4
Localisation,29764,29836,2,4
Pick and place,29836,29902,2,4
Localisation,29902,29961,2,4
Pick and place,29961,30274,2,4
Execution,30274,30487,2,4
Localisation,30487,30559,2,5
Pick and place,30559,30716,2,5
Execution,30716,31026,2,5
Localisation,31026,31199,2,6
Pick and place,31199,31273,2,6
Tools selection,31323,31431,2,6
Adjust RIGHT hand pose,31431,31629,2,6
Execution,31657,31980,2,6
REST,32435,32524,3,0
Tools selection,32527,32586,3,1
Adjust RIGHT hand pose,32586,32742,3,1
Localisation,32742,32821,3,1
Execution,32821,32993,3,1
Localisation,32993,33039,3,1
Execution,33039,33094,3,1
Tools selection,33094,33181,3,1
Adjust RIGHT hand pose,33181,33218,3,1
Localisation,33218,33256,3,1
Pick and place,33256,33345,3,1
Localisation,33345,33410,3,2
Execution,33410,33446,3,2
Pick and place,33446,33493,3,2
Tools selection,33493,33566,3,2
Adjust LEFT hand pose,33566,33618,3,2
Adjust RIGHT hand pose,33618,33675,3,2
Localisation,33675,33701,3,3
Execution,33701,33816,3,3
Pick and place,33816,33859,3,3
REST,34000,34090,3,0
Tools selection,34084,34132,3,4
Localisation,34132,34239,3,4
Pick and place,34239,34342,3,4
Execution,34342,34411,3,4
Localisation,34411,34473,3,4
Execution,34473,34489,3,4
Localisation,34489,34541,3,5
Pick and place,34541,34601,3,5
Execution,34601,34691,3,5
Localisation,34691,34710,3,5
Execution,34710,34909,3,5
Tools selection,34909,34980,3,5
Adjust LEFT hand pose,34980,35015,3,5
Adjust RIGHT hand pose,35015,35082,3,5
Localisation,35082,35137,3,5
Execution,35137,35218,3,5
Tools selection,35218,35294,3,6
Adjust RIGHT hand pose,35294,35329,3,6
Localisation,35329,35478,3,6
Fail Pick,35368,35384,3,6
Pick and place,35478,35582,3,6
Tools selection,35582,35710,3,6
Adjust RIGHT hand pose,35710,35740,3,6
Localisation,35740,35891,3,6
Execution,35891,36196,3,6
REST,37895,37965,4,0
Tools selection,37961,38020,4,1
Adjust RIGHT hand pose,38020,38068,4,1
Localisation,38068,38131,4,1
Fail Tool,38131,38153,4,1
Tools selection,38153,38235,4,1
Adjust RIGHT hand pose,38235,38301,4,1
Localisation,38301,38336,4,1
Execution,38336,38519,4,1
Tools selection,38519,38644,4,1
Adjust RIGHT hand pose,38644,38692,4,1
Localisation,38692,38753,4,1
Pick and place,38753,38804,4,1
Localisation,38804,39043,4,2
Execution,38918,38967,4,2
Pick and place,39043,39090,4,2
Localisation,39090,39236,4,3
Tools selection,39236,39304,4,3
Adjust LEFT hand pose,39304,39352,4,3
Adjust RIGHT hand pose,39352,39391,4,3
Localisation,39391,39444,4,3
