REST,3233,3383,1,0
Tools selection,6532,6664,1,2
Adjust RIGHT hand pose,6664,6726,1,2
Localisation,6726,6873,1,2
Adjust BASE pose,6810,6875,1,2
Tools selection,6873,6944,1,2
Adjust RIGHT hand pose,6944,7110,1,2
Localisation,7110,7163,1,2
Adjust BASE pose,7104,7194,1,2
Fail Exe,7140,7265,1,2
Fail Exe,7283,7500,1,2
Fail Exe,7560,7650,1,2
Tools selection,7619,7697,1,2
Adjust LEFT hand pose,7697,7775,1,2
Localisation,7775,7830,1,2
Fail Exe,7895,8107,1,2
Execution,7830,8333,1,2
Tools selection,8333,8579,1,1
Adjust RIGHT hand pose,8579,8665,1,1
Adjust BASE pose,8675,8731,1,1
Localisation,8665,8749,1,1
Execution,8749,9034,1,1
Tools selection,9034,9165,1,1
Adjust RIGHT hand pose,9165,9295,1,1
Localisation,9295,9363,1,1
Pick and place,9363,9444,1,1
Localisation,9444,9508,1,2
Pick and place,9508,9606,1,2
Tools selection,9606,9734,1,3
Adjust BASE pose,9421,9652,1,3
Adjust LEFT hand pose,9734,9860,1,3
Adjust RIGHT hand pose,9795,9893,1,3
Adjust BASE pose,9917,9931,1,3
Localisation,9893,10070,1,3
Fail Exe,10060,10210,1,3
Execution,10070,10367,1,3
Localisation,10367,10513,1,3
Pick and place,10513,10593,1,3
Adjust BASE pose,10642,10725,1,3
Localisation,10923,10968,1,4
Pick and place,10968,11015,1,4
Tools selection,11015,11058,1,4
Adjust BASE pose,10911,11016,1,4
Adjust LEFT hand pose,11058,11266,1,4
Localisation,11266,11390,1,4
Adjust BASE pose,11427,11446,1,4
Pick and place,11390,11500,1,4
Execution,11500,11865,1,4
Localisation,11865,11914,1,4
Adjust BASE pose,11925,11963,1,4
Pick and place,11914,12016,1,4
Execution,12016,12824,1,4
Localisation,12824,12937,1,5
Pick and place,12937,13085,1,5
Execution,13085,13368,1,5
Localisation,13368,13464,1,6
Pick and place,13464,13619,1,6
Tools selection,13619,13844,1,6
Adjust RIGHT hand pose,13844,13916,1,6
Adjust BASE pose,13958,14023,1,6
Localisation,13916,14051,1,6
Fail Exe,14399,14455,1,6
Execution,14051,14580,1,6
Tools selection,14580,14689,1,5
Adjust RIGHT hand pose,14689,14786,1,5
Localisation,14786,14833,1,5
Adjust BASE pose,14808,14922,1,5
Execution,14833,15010,1,5
REST,15458,15878,2,0
Tools selection,20469,20591,2,2
Adjust BASE pose,20675,20683,2,2
Adjust RIGHT hand pose,20591,20679,2,2
Adjust BASE pose,20775,20842,2,2
Localisation,20761,20839,2,2
Execution,20839,21004,2,2
Tools selection,21004,21138,2,1
Adjust BASE pose,21136,21260,2,1
Adjust RIGHT hand pose,21138,21221,2,1
Localisation,21221,21309,2,1
Execution,21309,21549,2,1
Tools selection,21549,21670,2,1
Adjust BASE pose,21603,21895,2,1
Adjust RIGHT hand pose,21670,21735,2,1
Localisation,21735,21787,2,1
Adjust BASE pose,21603,21789,2,1
Pick and place,21787,21866,2,1
Localisation,21866,21934,2,2
Fail Pick,21959,22021,2,2
Pick and place,21934,22082,2,2
Tools selection,22082,22177,2,3
Adjust LEFT hand pose,22177,22231,2,3
Adjust BASE pose,22251,22326,2,3
Localisation,22231,22408,2,3
Execution,22408,22577,2,3
Pick and place,22577,22656,2,3
Adjust BASE pose,22741,22768,2,3
Adjust BASE pose,22902,22968,2,4
Localisation,22656,23074,2,4
Adjust BASE pose,23083,23287,2,4
Pick and place,23074,23268,2,4
Execution,23268,23451,2,4
Tools selection,23451,23498,2,4
Adjust LEFT hand pose,23498,23584,2,4
Localisation,23584,23714,2,4
Execution,23714,24575,2,4
Adjust BASE pose,24677,24784,2,4
Localisation,24575,24747,2,5
Pick and place,24747,24851,2,5
Execution,24851,25070,2,5
Localisation,25070,25177,2,6
Pick and place,25177,25518,2,6
Tools selection,25518,25659,2,6
Adjust BASE pose,25724,25758,2,6
Adjust RIGHT hand pose,25659,25730,2,6
Localisation,25730,25872,2,6
Execution,25872,26483,2,6
REST,27625,27650,3,0
Tools selection,27614,27871,3,1
Adjust BASE pose,27678,27741,3,1
Adjust RIGHT hand pose,27871,27971,3,1
Adjust BASE pose,27978,27991,3,1
Localisation,27971,28029,3,1
Execution,28029,28319,3,1
Tools selection,28319,28509,3,1
Adjust RIGHT hand pose,28509,28593,3,1
Localisation,28593,28672,3,1
Fail Pick,28679,28748,3,1
Pick and place,28672,28810,3,1
Adjust BASE pose,28847,28887,3,1
Localisation,28810,28908,3,2
Pick and place,28908,29006,3,2
Adjust BASE pose,29027,29064,3,3
Adjust RIGHT hand pose,29006,29156,3,3
Tools selection,29156,29235,3,3
Adjust BASE pose,29311,29326,3,3
Adjust LEFT hand pose,29235,29381,3,3
Localisation,29381,29485,3,3
Execution,29485,29635,3,3
Pick and place,29635,29696,3,3
Tools selection,29696,29981,3,4
Adjust BASE pose,29785,29880,3,4
Adjust BASE pose,29982,29994,3,4
Localisation,29981,30055,3,4
Adjust BASE pose,30071,30122,3,4
Pick and place,30055,30153,3,4
Execution,30153,30473,3,4
Tools selection,30473,30519,3,4
Adjust LEFT hand pose,30519,30636,3,4
Localisation,30636,30724,3,4
Adjust LEFT hand pose,30724,31087,3,4
Localisation,31087,31193,3,4
Execution,31193,31604,3,4
Adjust BASE pose,31729,32076,3,5
Localisation,31604,31880,3,5
Pick and place,31880,32116,3,5
Execution,32116,32260,3,5
Localisation,32260,32422,3,6
Pick and place,32422,32606,3,6
Tools selection,32606,32727,3,6
Adjust RIGHT hand pose,32727,32842,3,6
Localisation,32842,33004,3,6
Execution,33004,33407,3,6
Tools selection,33407,33508,3,5
Adjust BASE pose,33634,33718,3,5
Adjust RIGHT hand pose,33508,33636,3,5
Localisation,33636,33682,3,5
Execution,33682,33863,3,5
Adjust BASE pose,33874,34004,3,0
REST,34285,34330,4,0
Tools selection,34491,34625,4,2
