Sequence,Start,Stop
Pick and place,90199,90454
Localisation,90199,90637
Localisation,90686,90787
Pick and place,90686,90787
Execution,90787,91061
Localisation,90825,92513
Pick and place,92577,92989
Adjust LEFT hand pose,93013,93059
Localisation,92577,93059
Execution,93238,93685
Localisation,93238,93685
Pick and place,93765,93920
Tools selection,93969,94008
Localisation,93765,94008
Execution,94143,94303
Localisation,94143,95757
Tools selection,95757,95889
Execution,96107,96237
Tools selection,96277,96303
Localisation,96107,96303
Pick and place,96406,96536
Localisation,96406,96536
Pick and place,96623,96768
Localisation,96623,96768
Fail,97156,97156
Pick and place,96893,97360
Tools selection,97596,97669
Localisation,96893,97669
Pick and place,97853,98238
Localisation,97853,98238
Execution,98407,98947
Adjust BASE pose,98997,99019
Localisation,98407,99019
Pick and place,99076,99484
Localisation,99076,99484
Execution,99602,99677
Localisation,99602,99677
Pick and place,99820,99929
Tools selection,99992,100017
Localisation,99820,100017
Execution,100217,100395
Tools selection,100827,100859
Localisation,100217,100859
Execution,101051,101201
Tools selection,101237,101263
Localisation,101051,101263
Pick and place,101391,101488
Tools selection,101556,101579
Localisation,101391,101579
Pick and place,101667,101829
Localisation,101667,101831
Adjust BASE pose,101879,101894
Pick and place,101965,102268
Tools selection,102496,102529
Localisation,101965,102529
Adjust RIGHT hand pose,102545,102640
Localisation,102712,102835
Execution,102946,103295
Localisation,102946,103295
Pick and place,103379,103797
Localisation,103379,103797
Execution,103856,103938
Localisation,103856,103984
Pick and place,104060,104183
Tools selection,104237,104259
Localisation,104060,104259
Execution,104485,104576
Fail,104576,104576
Localisation,104485,104585
Execution,104683,104865
