Sequence,Start,Stop
Adjust BASE pose,7147,7201
Adjust BASE pose,7325,7359
Tools selection,7982,8433
Adjust BASE pose,8321,8509
Adjust RIGHT hand pose,8490,8545
Adjust BASE pose,8577,8681
Localisation,8433,8719
Execution,8719,9218
Tools selection,9218,9288
Localisation,9288,9394
Pick and place,9394,9480
Adjust BASE pose,9504,9515
Adjust LEFT hand pose,9942,9966
Localisation,9480,10032
Execution,10032,10261
Pick and place,10261,10360
Localisation,10360,10553
Execution,10553,10764
Pick and place,10764,10840
Adjust RIGHT hand pose,10903,11016
Localisation,10840,11125
Pick and place,11125,11301
Adjust BASE pose,11347,11394
Localisation,11301,11445
Adjust BASE pose,12010,12171
Execution,11445,14228
Adjust BASE pose,14311,14358
Localisation,14228,14411
Pick and place,14411,14513
Localisation,14513,14578
Execution,14578,16006
Localisation,16006,16101
Adjust BASE pose,16161,16180
Pick and place,16101,16422
Tools selection,16422,16518
Adjust BASE pose,16531,16573
Localisation,16422,16681
Execution,16681,16982
Tools selection,16982,17072
Localisation,17072,17167
Execution,17167,17236
Adjust BASE pose,17210,17266
Tools selection,20308,20414
Localisation,20414,20531
Adjust BASE pose,20646,20656
Execution,20531,20856
Tools selection,20856,21020
Adjust BASE pose,21072,21081
Adjust RIGHT hand pose,21109,21139
Adjust BASE pose,21161,21177
Localisation,21020,21221
Adjust BASE pose,21815,21821
Execution,21221,21856
Tools selection,22352,22403
Localisation,22403,22564
Execution,22564,23006
Localisation,23006,23177
Execution,23177,23506
Tools selection,23789,23830
Adjust BASE pose,23882,23896
Localisation,23830,23945
Execution,23945,24318
Tools selection,25105,25181
Localisation,25181,25305
Execution,25305,25698
Execution,25698,25927
Adjust BASE pose,25950,25953
Localisation,25927,25999
Execution,25999,26354
Tools selection,27110,27166
Adjust BASE pose,27216,27219
Localisation,27166,27257
Adjust BASE pose,27539,27557
Execution,27257,27638
Localisation,27638,27723
Execution,27723,28104
Adjust BASE pose,28148,28153
Tools selection,29370,29418
Adjust BASE pose,29450,29463
Localisation,29418,29532
Execution,29532,29887
Localisation,29887,29949
Execution,29949,30296
Tools selection,31601,31645
Adjust BASE pose,31652,31669
Localisation,31645,31741
Execution,31741,32132
Adjust BASE pose,32146,32157
Execution,32132,32382
Tools selection,32592,32629
Localisation,32629,32723
Execution,32723,33026
Localisation,33026,33090
Adjust BASE pose,33270,33286
Execution,33090,33474
Tools selection,33838,33874
Adjust BASE pose,33880,33921
Localisation,33874,33993
Execution,33993,34482
Localisation,34482,34531
Execution,34531,34840
Adjust BASE pose,34861,34874
Tools selection,35351,35409
Adjust BASE pose,35566,35583
Localisation,35409,35591
Execution,35591,36270
Execution,36270,36526
Adjust BASE pose,37248,37274
Tools selection,39988,40028
Adjust BASE pose,40072,40086
Localisation,40028,40123
Execution,40123,40534
Tools selection,40534,40610
Adjust RIGHT hand pose,40714,40737
Localisation,40610,40826
Pick and place,40826,41018
Tools selection,41232,41292
Adjust RIGHT hand pose,41334,41399
Localisation,41292,41467
Pick and place,41467,41578
Tools selection,41578,41720
