Sequence,Start,Stop
Localisation,77787,78226
Pick and place,78284,78565
Localisation,78284,78565
Execution,78696,79178
Tools selection,80819,80909
Localisation,78696,80909
Adjust RIGHT hand pose,80949,81017
Localisation,81219,81219
Pick and place,81219,81463
Pick and place,81605,81838
Localisation,81605,81838
Execution,81912,82190
Tools selection,82514,82577
Localisation,81912,82577
Adjust RIGHT hand pose,82625,82706
Adjust BASE pose,82742,82812
Pick and place,83037,83374
Localisation,83037,83374
Execution,83416,83527
Localisation,83416,83689
Pick and place,83735,83791
Localisation,83735,83791
Execution,83957,84150
Tools selection,84403,84470
Localisation,83957,84470
Adjust RIGHT hand pose,84536,84592
Pick and place,84732,85055
Localisation,84732,85141
Pick and place,85229,85339
Localisation,85229,85339
Execution,85455,85565
Tools selection,86401,86442
Localisation,85455,86442
Pick and place,86508,86745
Tools selection,86745,86829
Localisation,86508,86829
Execution,87102,87256
Localisation,87102,87256
Pick and place,87374,87536
Tools selection,87536,87601
Localisation,87374,87601
Execution,87911,88419
Tools selection,91119,91186
Localisation,87911,91186
Execution,91329,91704
Tools selection,92002,92047
Localisation,91329,92047
Execution,92448,93041
Tools selection,93502,93560
Localisation,92448,93560
Localisation,93684,93684
Execution,93684,94029
Execution,94487,94878
Localisation,94487,94878
Execution,95386,95536
Tools selection,95884,95915
Localisation,95386,95915
Execution,96035,96342
Localisation,96035,96634
Execution,96826,97700
Localisation,96826,98328
Tools selection,98328,98344
Execution,98419,98772
Localisation,98419,99134
Execution,99212,99435
Tools selection,99762,99791
Localisation,99212,99791
Execution,99885,100118
Localisation,99885,100282
Adjust BASE pose,100338,100366
Execution,100410,100699
Tools selection,100905,100917
Localisation,100410,100917
Execution,101014,101206
Localisation,101014,101504
Adjust BASE pose,101548,101575
Execution,101628,102193
Tools selection,103513,103561
Localisation,101628,103561
Execution,103631,104044
Localisation,103631,104309
Execution,104389,104682
Tools selection,104950,105005
Localisation,104389,105005
Execution,105125,105479
Localisation,105125,105733
Execution,105841,106288
Tools selection,107872,107897
Localisation,105841,107897
Execution,107989,108243
Tools selection,109375,109429
Localisation,107989,109429
Pick and place,109543,109675
Localisation,109543,109844
Pick and place,109958,110308
Localisation,109958,110676
Pick and place,110779,110958
Localisation,110779,111132
Pick and place,111258,111506
Localisation,111258,112093
Pick and place,112163,112307
Localisation,112163,112453
Pick and place,112535,112809
Localisation,112535,113031
Pick and place,113087,113298
Localisation,113087,113420
Pick and place,113467,113629
Localisation,113467,113883
Pick and place,113883,114119
Localisation,113933,114285
Pick and place,114285,114388
Fail,114285,114388
Localisation,114333,114388
Pick and place,114448,114658
Localisation,114448,114898
Pick and place,114982,115290
Localisation,114982,115468
Pick and place,115564,115740
Localisation,115564,115940
Pick and place,116010,116231
Localisation,116010,116383
Pick and place,116519,116661
Localisation,116519,116929
Pick and place,116981,117105
Localisation,116981,117253
Pick and place,117303,117811
Tools selection,119257,119382
Localisation,117303,119382
Adjust RIGHT hand pose,119382,119468
Execution,119558,119982
Tools selection,122056,122144
Localisation,119558,122144
Adjust RIGHT hand pose,122164,122185
Execution,122296,122567
Tools selection,122567,122638
Localisation,122296,122638
Pick and place,122690,122740
Tools selection,122740,122785
Adjust BASE pose,122860,122876
Localisation,122690,122975
Execution,123011,123180
Localisation,123011,123180
Adjust RIGHT hand pose,123202,123283
Pick and place,123326,123394
Localisation,123326,123394
Pick and place,123600,123788
Localisation,123600,124421
Tools selection,124372,124446
Pick and place,124503,124620
Localisation,124503,124620
Execution,124795,124893
Localisation,124795,124893
Pick and place,125039,125253
Localisation,125039,125253
Execution,125351,125371
Localisation,125351,125371
Pick and place,125445,125486
Fail,125445,125486
Localisation,125445,125486
Pick and place,125546,125629
Fail,125546,125629
Localisation,125546,125629
Pick and place,125705,125728
Localisation,125705,125728
Execution,125786,126169
Localisation,125786,126169
Pick and place,126297,126401
Tools selection,126401,126465
Localisation,126297,126465
Execution,126577,127046
Tools selection,127558,127581
Localisation,126577,127581
Execution,127653,127989
Tools selection,127989,128051
Localisation,127653,128051
Pick and place,128111,128157
Tools selection,128157,128209
Localisation,128111,128209
Execution,128378,128934
Localisation,128378,128934
Pick and place,128984,129074
Localisation,128984,129074
Pick and place,129194,129347
Tools selection,129899,129936
Localisation,129194,129936
Adjust RIGHT hand pose,129972,130223
Pick and place,130346,130457
Localisation,130346,130457
Execution,130547,130816
Localisation,130547,130816
Pick and place,130913,131099
Localisation,130913,131099
Execution,131151,131434
Localisation,131151,131434
Pick and place,131598,131735
Tools selection,131735,131781
Adjust BASE pose,131849,131890
Localisation,131598,131917
Execution,131987,132366
