Sequence,Start,Stop
Tools selection,8173,8227
Adjust RIGHT hand pose,8227,8311
Localisation,8311,8605
Execution,8605,8748
Tools selection,8798,8834
Adjust RIGHT hand pose,8834,8883
Localisation,8883,8969
Pick and place,8969,9381
Localisation,9381,9475
Pick and place,9475,9589
Tools selection,9858,9970
Adjust LEFT hand pose,9970,10095
Localisation,10095,10220
Fail,10220,10476
Pick and place,10220,10476
Localisation,10786,10883
Pick and place,10883,10947
Adjust BASE pose,11014,11053
Localisation,11129,11226
Pick and place,11226,11401
Adjust BASE pose,11426,11519
Localisation,11519,11576
Pick and place,11576,11682
Adjust LEFT hand pose,11682,11839
Localisation,11839,12081
Execution,12081,12213
Localisation,12213,12290
Pick and place,12290,12629
Fail,12290,12629
Localisation,13437,13444
Pick and place,13444,13916
Fail,13444,13916
Localisation,14031,14055
Pick and place,14055,14462
Tools selection,14462,14515
Localisation,14515,14610
Pick and place,14610,14647
Fail,14610,14647
Localisation,14660,14710
Pick and place,14710,14871
Localisation,14871,15017
Execution,15017,15194
Tools selection,15259,15302
Adjust RIGHT hand pose,15302,15370
Localisation,15370,15490
Execution,15490,15816
Tools selection,18840,18897
Adjust RIGHT hand pose,18897,18973
Localisation,18973,19110
Execution,19110,19311
Localisation,19590,19695
Execution,19695,20129
Tools selection,20553,20600
Adjust RIGHT hand pose,20600,20663
Localisation,20600,20778
Execution,20778,20955
Localisation,21085,21232
Execution,21232,21504
Tools selection,22192,22302
Adjust RIGHT hand pose,22302,22392
Localisation,22392,22517
Execution,22517,22708
Localisation,22517,23023
Execution,23023,23360
Tools selection,25903,25955
Adjust RIGHT hand pose,25955,26031
Localisation,26031,26230
Execution,26230,26412
Localisation,26532,26697
Execution,26697,26963
Tools selection,27213,27252
Adjust RIGHT hand pose,27252,27322
Localisation,27322,27462
Execution,27462,27652
Localisation,27852,27994
Execution,27994,28246
Tools selection,28489,28546
Adjust RIGHT hand pose,28546,28619
Localisation,28619,28721
Execution,28721,28903
Localisation,29026,29278
Execution,29278,29509
Tools selection,29749,29797
Adjust RIGHT hand pose,29797,29871
Localisation,29871,29988
Execution,29988,30170
Localisation,30307,30496
