Sequence,Start,Stop
Adjust RIGHT hand pose,6607,6761
Adjust RIGHT hand pose,6901,6939
Tools selection,6454,7115
Tools selection,7645,7701
Localisation,7701,8195
Tools selection,8195,8313
Localisation,8313,8737
Execution,8737,9096
Tools selection,9096,9284
Tools selection,9496,9547
Adjust RIGHT hand pose,9538,9843
Localisation,9843,9878
Pick and place,9878,10006
Tools selection,10101,10137
Localisation,10138,10282
Execution,10282,10449
Pick and place,10449,10588
Adjust RIGHT hand pose,10607,10942
Adjust LEFT hand pose,10969,11083
Localisation,11083,11155
Execution,11155,11407
Adjust BASE pose,11478,11580
Adjust LEFT hand pose,11630,11717
Localisation,11234,11717
Execution,11789,12114
Fail,12132,12172
Pick and place,11807,12287
Tools selection,12634,12658
Tools selection,12688,12710
Adjust RIGHT hand pose,12652,12873
Localisation,11789,12873
Pick and place,12924,13184
Localisation,12916,13186
Execution,13422,14070
Adjust LEFT hand pose,14070,14248
Localisation,13422,14248
Execution,14470,14747
Localisation,14470,14747
Pick and place,14856,15024
Localisation,14856,15024
Localisation,15402,15607
Execution,15402,15619
Pick and place,15685,15756
Tools selection,15937,15967
Localisation,15685,15967
Execution,16127,16483
Tools selection,19721,19781
Adjust RIGHT hand pose,19772,19876
Localisation,16127,19876
Execution,19964,20292
Tools selection,20410,20452
Adjust RIGHT hand pose,20452,20634
Localisation,19964,20634
Execution,20730,20974
Tools selection,21482,21548
Adjust RIGHT hand pose,21548,21606
Localisation,20730,21606
Execution,21698,21909
Localisation,21698,22077
Execution,22187,22694
Tools selection,23036,23106
Adjust RIGHT hand pose,23102,23159
Localisation,22187,23159
Execution,23305,23625
Localisation,23305,23851
Execution,23937,24275
Tools selection,24523,24577
Adjust RIGHT hand pose,24577,24791
Localisation,23937,24791
Execution,24935,25173
Localisation,24935,25333
Execution,25455,25703
Tools selection,25954,26002
Adjust RIGHT hand pose,26002,26074
Localisation,25455,26074
Execution,26158,26394
Localisation,26158,26540
Execution,26705,26961
Tools selection,27203,27255
Adjust RIGHT hand pose,27255,27318
Localisation,26705,27318
Execution,27402,27673
Localisation,27402,27805
Execution,27909,28181
Tools selection,28463,28499
Adjust RIGHT hand pose,28499,28557
Localisation,27909,28557
Execution,28625,28907
Localisation,28625,29059
Execution,29169,29380
Tools selection,29678,29718
Adjust RIGHT hand pose,29718,29784
Localisation,29169,29784
Execution,29864,30128
Localisation,29864,30276
Execution,30382,30623
Tools selection,31117,31159
Adjust RIGHT hand pose,31159,31223
Localisation,30382,31223
Localisation,31314,31502
Execution,31602,31881
Tools selection,31941,31983
Tools selection,33303,33355
Adjust RIGHT hand pose,33355,33455
Localisation,31602,33455
Pick and place,33513,33627
Pick and place,33859,33941
Execution,33941,34005
Tools selection,34356,34436
Adjust RIGHT hand pose,34436,34488
Localisation,33513,34488
Pick and place,34540,34634
Pick and place,34808,35022
Execution,35022,35056
Tools selection,35310,35412
Adjust RIGHT hand pose,35412,35488
Localisation,34540,35488
