Sequence,Start,Stop
Adjust BASE pose,96006,96071
Localisation,96071,96143
Execution,96143,96368
Adjust BASE pose,96368,96450
Localisation,96450,96512
Execution,96512,97165
Tools selection,97535,97597
Adjust BASE pose,97698,97711
Localisation,97597,97787
Execution,97787,98598
Localisation,98598,98656
Pick and place,98656,98722
Localisation,98874,98946
Pick and place,98946,99101
Adjust BASE pose,99101,99186
Localisation,99186,99234
Adjust BASE pose,100133,100165
Execution,99234,100530
Adjust RIGHT hand pose,101727,101766
Tools selection,101593,101815
Localisation,101673,102211
Execution,102211,103725
Localisation,103725,103869
Pick and place,103869,103918
Localisation,104184,104248
Pick and place,104248,104408
Execution,104408,104518
Fail,104408,104518
Pick and place,104518,104718
Fail,104518,104718
Localisation,104718,104776
Pick and place,104776,104860
Adjust BASE pose,104962,105040
Localisation,104860,105106
Execution,105106,105386
Fail,105106,105386
Localisation,105386,105477
Pick and place,105477,106199
Execution,106199,106674
Tools selection,107016,107146
Localisation,107146,107282
Execution,107282,107512
Pick and place,107512,107639
Localisation,107770,107832
Pick and place,107832,108143
Execution,108143,109549
Tools selection,109910,110017
Localisation,109989,110167
Execution,110167,110743
Pick and place,110743,110856
Localisation,110953,111005
Execution,111005,111094
Localisation,111094,111156
Pick and place,111156,111404
Adjust BASE pose,111979,112007
Execution,111404,112903
Adjust BASE pose,113454,113603
Tools selection,113552,113660
Localisation,113588,113724
Adjust BASE pose,113976,113989
Pick and place,113724,114146
Localisation,114146,114204
Execution,114204,114270
Localisation,114270,114602
Pick and place,114602,114762
Tools selection,114762,114858
Localisation,115058,115092
Execution,115092,115446
Tools selection,116627,116691
Adjust RIGHT hand pose,116728,116776
Localisation,116691,116870
Execution,116870,117274
Tools selection,117274,117359
Localisation,117359,117487
Pick and place,117487,117570
Tools selection,117570,117744
Adjust BASE pose,117735,117749
Localisation,117744,117840
Pick and place,117840,118194
Adjust BASE pose,118346,118477
Localisation,118194,118550
Execution,118550,118687
Localisation,118687,118753
Pick and place,118753,118844
Localisation,119092,119374
Pick and place,119374,119580
Adjust BASE pose,119580,119637
Localisation,119637,119741
Execution,119741,120033
Fail,119741,120033
Execution,120033,120814
Adjust BASE pose,120814,120950
Localisation,120950,121022
Execution,121022,121105
Localisation,121105,121185
Adjust BASE pose,121303,121320
Adjust BASE pose,121438,121497
Pick and place,121185,121941
Execution,121941,122151
Localisation,122151,122246
Pick and place,122246,122452
Tools selection,122452,122554
Localisation,122554,122716
Execution,122716,123023
