Sequence,Start,Stop
Adjust BASE pose,11521,11667
Tools selection,11668,11712
Localisation,11712,12192
Adjust RIGHT hand pose,12042,12210
Execution,11712,12948
Tools selection,12948,13052
Localisation,13060,13164
Tools selection,13062,13305
Adjust RIGHT hand pose,13362,13563
Pick and place,13669,13749
Localisation,13669,13749
Pick and place,13972,13999
Fail,13972,13999
Localisation,13972,13999
Pick and place,14207,14445
Localisation,14207,14445
Pick and place,14633,14904
Fail,14633,14904
Tools selection,15700,15765
Localisation,14633,15765
Adjust LEFT hand pose,16026,16139
Adjust RIGHT hand pose,16093,16156
Localisation,15976,16197
Pick and place,16208,16795
Localisation,16208,16795
Pick and place,16988,17203
Localisation,16988,17203
Adjust RIGHT hand pose,17273,17455
Pick and place,17503,17558
Fail,17503,17558
Localisation,17503,17558
Pick and place,17766,18271
Localisation,17766,18271
Localisation,18391,18391
Pick and place,18513,18680
Tools selection,15976,18680
Localisation,18513,18786
Adjust RIGHT hand pose,18791,18844
Execution,18979,19450
Tools selection,18786,19450
Localisation,18979,19596
Pick and place,19731,19842
Tools selection,19596,23517
Localisation,19731,23568
Adjust RIGHT hand pose,23582,23643
Execution,23901,24268
Localisation,23901,24520
Execution,24665,25320
Tools selection,23568,25598
Localisation,24665,25648
Adjust RIGHT hand pose,25659,25715
Execution,25948,26372
Localisation,25948,26569
Execution,26744,27352
Tools selection,25648,27642
Localisation,26744,27670
Adjust RIGHT hand pose,27681,27731
Execution,27929,28376
Localisation,27929,28519
Execution,28732,29214
Tools selection,27670,29410
Localisation,28732,29450
Adjust RIGHT hand pose,29462,29519
Execution,29781,30264
Localisation,29781,30383
Execution,30585,31120
Tools selection,29450,31303
Localisation,30585,31360
Adjust RIGHT hand pose,31368,31439
Execution,31717,32074
Localisation,31717,32213
Execution,32504,33356
Tools selection,31360,33570
Localisation,32504,33610
Adjust RIGHT hand pose,33628,33856
Execution,34124,34524
Localisation,34124,34677
Execution,34763,34872
Fail,34763,34872
Localisation,34763,34872
Adjust RIGHT hand pose,34910,34990
Execution,35085,35528
Tools selection,33610,36323
Localisation,35085,36350
Adjust RIGHT hand pose,36361,36409
Execution,36647,37050
Localisation,36647,37185
Execution,37356,38012
Tools selection,36350,38241
Localisation,37356,38290
Adjust RIGHT hand pose,38300,38347
Execution,38598,39024
Localisation,38598,39136
Execution,39232,39608
Tools selection,38290,40075
Localisation,39232,40102
Adjust RIGHT hand pose,40110,40197
Localisation,40201,40412
Execution,40664,40979
Tools selection,40102,40979
Localisation,40664,41124
Adjust RIGHT hand pose,41233,41346
Execution,41504,41696
Tools selection,41124,41696
Localisation,41504,41818
Adjust RIGHT hand pose,41827,41893
Fail,42042,42042
Tools selection,41818,42189
Execution,42042,42190
Localisation,42042,42264
Adjust RIGHT hand pose,42332,42352
Pick and place,42441,42525
Pick and place,42780,42869
Tools selection,42264,44567
Localisation,42441,44626
Adjust RIGHT hand pose,44658,44730
Pick and place,44853,44953
Localisation,44853,45134
Pick and place,45233,45258
Fail,45233,45258
Localisation,45233,45258
Pick and place,45314,45478
Tools selection,44626,45717
Localisation,45314,45773
Adjust RIGHT hand pose,45843,45887
Pick and place,45985,46099
Localisation,45985,46208
Pick and place,46254,46429
Tools selection,45773,46698
Localisation,46254,46762
Adjust RIGHT hand pose,46800,46847
Pick and place,46995,47092
Localisation,46995,47203
Pick and place,47303,47466
Tools selection,46762,47856
Localisation,47303,47916
Pick and place,48102,48252
Localisation,48102,48332
Pick and place,48424,48625
Tools selection,47916,48901
Localisation,48424,48970
Adjust RIGHT hand pose,49020,49037
Pick and place,49145,49247
Localisation,49145,49414
Pick and place,49472,49682
Tools selection,48970,50100
Localisation,49472,50158
Pick and place,50444,50541
Localisation,50444,50664
Pick and place,50724,50938
Tools selection,50158,51407
Localisation,50724,51458
Adjust RIGHT hand pose,51542,51595
Pick and place,51740,51863
Localisation,51740,52109
Pick and place,52207,52432
Tools selection,51458,52790
Localisation,52207,52790
Pick and place,53086,53164
Localisation,53086,53325
Pick and place,53451,53591
Tools selection,52896,54427
Localisation,53451,54495
Adjust RIGHT hand pose,54542,54568
Pick and place,54667,54769
Tools selection,54495,57016
Localisation,54667,57064
Adjust BASE pose,57250,57390
