Sequence,Start,Stop
Tools selection,13017,13186
Adjust BASE pose,13415,13454
Adjust BASE pose,13598,13647
Localisation,13186,13682
Adjust BASE pose,13797,13883
Adjust BASE pose,13990,14008
Execution,13682,14079
Adjust BASE pose,14087,14108
Tools selection,14079,14168
Localisation,14168,14302
Execution,14302,14722
Tools selection,14722,14810
Adjust RIGHT hand pose,14878,14906
Localisation,14810,14950
Pick and place,14950,15056
Adjust BASE pose,15074,15106
Localisation,15056,15140
Pick and place,15140,15274
Adjust BASE pose,15218,15276
Tools selection,15274,15537
Tools selection,15537,15681
Tools selection,15766,15799
Localisation,15681,15883
Pick and place,15883,16017
Localisation,16017,16105
Pick and place,16105,16229
Localisation,17027,17207
Pick and place,17207,17452
Localisation,17452,17564
Pick and place,17564,17818
Adjust BASE pose,18196,18210
Localisation,17818,18292
Execution,18292,18444
Tools selection,18444,18538
Adjust RIGHT hand pose,18610,18627
Adjust BASE pose,18688,18716
Localisation,18538,18770
Execution,18770,19302
Localisation,19302,19338
Pick and place,19338,19407
Localisation,19407,19477
Pick and place,19477,19579
Tools selection,19911,20069
Adjust RIGHT hand pose,20123,20164
Localisation,20069,20385
Pick and place,20385,20409
Fail,20385,20409
Localisation,20409,20503
Pick and place,20503,21123
Execution,21123,21769
Fail,21123,21769
Adjust BASE pose,21875,21932
Localisation,21769,21971
Pick and place,21971,22097
Pick and place,22097,23030
Fail,22097,23030
Localisation,23030,23204
Pick and place,23204,23844
Execution,23844,24431
Fail,23844,24431
Pick and place,24431,24677
Fail,24431,24677
Localisation,24677,24769
Pick and place,24769,25065
Localisation,25065,25287
Pick and place,25287,25641
Tools selection,25641,25805
Adjust LEFT hand pose,25842,25960
Adjust RIGHT hand pose,26010,26026
Localisation,25805,26159
Execution,25805,27051
Fail,25805,27051
Adjust BASE pose,27098,27107
Localisation,27051,27155
Pick and place,27155,27613
Execution,27613,28151
Adjust BASE pose,28151,28908
Localisation,28908,28958
Pick and place,28958,29015
Localisation,29015,29167
Pick and place,29167,29219
Adjust BASE pose,29277,29335
Localisation,29219,29383
Pick and place,29383,29549
Adjust BASE pose,29549,29650
Localisation,29650,29718
Pick and place,29718,29956
Localisation,29956,30038
Execution,30038,30454
Fail,30038,30454
Localisation,30454,30716
Pick and place,30716,30780
Localisation,30780,30820
Execution,30820,30973
Localisation,30973,31071
Pick and place,31071,31525
Adjust LEFT hand pose,31614,31686
Localisation,31525,31756
Execution,31756,32148
Localisation,32148,32324
Pick and place,32324,32794
Adjust BASE pose,33370,33406
Adjust BASE pose,34495,34545
Adjust BASE pose,35053,35084
Execution,32794,35629
Localisation,35629,35751
Pick and place,35751,35853
Localisation,35853,36197
Pick and place,35853,36605
Fail,35853,36605
Adjust BASE pose,36733,36833
Localisation,36833,36889
Pick and place,36889,37931
Localisation,37931,38155
Pick and place,38155,38337
Tools selection,38337,38444
Localisation,38444,38636
Execution,38636,39041
Tools selection,39041,39233
Execution,39233,39375
Tools selection,43905,44021
Adjust RIGHT hand pose,44067,44122
Adjust BASE pose,44203,44259
Localisation,44021,44313
Execution,44313,44564
Tools selection,44810,44906
Localisation,45585,45677
Execution,45677,45934
Tools selection,46126,46219
Adjust RIGHT hand pose,46279,46386
Adjust BASE pose,46401,46437
Localisation,46219,46507
Execution,46507,46718
Tools selection,47674,47716
Adjust RIGHT hand pose,47746,47832
Adjust BASE pose,47857,47885
Localisation,47716,47942
Execution,47942,48053
Localisation,48115,48279
Execution,48279,48394
Tools selection,48522,48570
Adjust RIGHT hand pose,48594,48644
Localisation,48570,48724
Execution,48724,48852
Localisation,48916,49018
Execution,49018,49144
Tools selection,49339,49394
Adjust RIGHT hand pose,49418,49480
Localisation,49394,49599
Execution,49599,49672
Localisation,49738,49818
Execution,49818,49998
Tools selection,50203,50246
Adjust RIGHT hand pose,50268,50334
Localisation,50246,50422
Execution,50422,50652
Localisation,50866,50958
Execution,50958,51114
Tools selection,52298,52338
Adjust RIGHT hand pose,52368,52455
Localisation,52338,52616
Execution,52616,52687
Localisation,52872,52980
Execution,52980,53116
Tools selection,53587,53651
Adjust RIGHT hand pose,53675,53729
Localisation,53651,53822
Execution,53822,53934
Localisation,54024,54128
Execution,54128,54259
Tools selection,54519,54577
Adjust RIGHT hand pose,54619,54655
Localisation,54577,54747
Execution,54747,55008
Localisation,55104,55192
Execution,55192,55377
Tools selection,55475,55509
Adjust RIGHT hand pose,55553,55601
Localisation,55509,55695
Execution,55695,55772
Localisation,55843,55981
Execution,55981,56211
Tools selection,57056,57118
Localisation,57916,58046
Execution,58046,58261
Tools selection,59607,59668
Adjust RIGHT hand pose,59738,59949
Localisation,59668,60018
Pick and place,60018,60122
Localisation,60212,60252
Pick and place,60252,60463
Tools selection,60779,60848
Adjust RIGHT hand pose,60926,60988
Localisation,60848,61064
Pick and place,61064,61230
Localisation,61312,61370
Pick and place,61370,61557
Tools selection,61753,61806
Adjust RIGHT hand pose,61850,61892
Localisation,61806,61942
Pick and place,61942,62033
Localisation,62095,62157
Pick and place,62157,62338
Tools selection,62515,62546
Adjust RIGHT hand pose,62636,62679
Localisation,62546,62752
Pick and place,62752,62852
Localisation,62926,62971
Pick and place,62971,63152
Tools selection,63298,63403
Adjust RIGHT hand pose,63441,63507
Localisation,63403,63569
Pick and place,63569,63653
Localisation,63711,63753
Pick and place,63753,63795
Fail,63753,63795
Localisation,63795,63899
Pick and place,63899,64035
Tools selection,64245,64325
Adjust RIGHT hand pose,64373,64427
Localisation,64325,64491
Pick and place,64491,64593
Localisation,64683,64725
Pick and place,64725,64907
Tools selection,65185,65221
Adjust RIGHT hand pose,65261,65319
Localisation,65221,65373
Pick and place,65373,65511
Localisation,65635,65685
Pick and place,65685,65831
Tools selection,65971,66044
Adjust RIGHT hand pose,66076,66137
Localisation,66044,66198
Pick and place,66198,66317
Localisation,66391,66431
Pick and place,66431,66613
Tools selection,66963,67075
Adjust RIGHT hand pose,67131,67141
Localisation,67075,67217
Pick and place,67217,67326
Tools selection,69682,69759
Adjust RIGHT hand pose,69807,69885
Localisation,69759,69985
Execution,69985,70238
Tools selection,70238,70502
Adjust RIGHT hand pose,70574,70596
Localisation,70502,70682
Adjust BASE pose,70815,70851
Pick and place,70682,71376
Tools selection,71376,71376
