Sequence,Start,Stop
Adjust LEFT hand pose,71952,72100
Adjust RIGHT hand pose,72064,72104
Adjust BASE pose,72208,72237
Localisation,71854,72304
Execution,72237,72599
Tools selection,72849,72978
Adjust LEFT hand pose,73018,73062
Adjust RIGHT hand pose,73022,73062
Localisation,72918,73200
Execution,73200,73264
Localisation,73264,73338
Pick and place,73338,73424
Localisation,73482,73654
Pick and place,73654,74039
Localisation,74039,74145
Execution,74145,74269
Tools selection,74451,74562
Adjust LEFT hand pose,74617,74665
Adjust RIGHT hand pose,74614,74678
Localisation,74562,74786
Execution,74786,74902
Localisation,74902,75006
Pick and place,75006,75140
Localisation,75214,75334
Adjust BASE pose,75419,75554
Pick and place,75334,75782
Localisation,75334,76010
Execution,76010,76100
Tools selection,76380,76485
Adjust RIGHT hand pose,76534,76582
Adjust LEFT hand pose,76550,76588
Localisation,76428,76802
Execution,76802,76845
Localisation,76845,76907
Pick and place,76907,77021
Localisation,77137,77233
Adjust BASE pose,77323,77365
Pick and place,77233,77634
Localisation,77634,77828
Execution,77828,77890
Localisation,78374,78498
Execution,78498,78535
Localisation,78535,78609
Pick and place,78609,78790
Localisation,78938,78990
Adjust BASE pose,79050,79066
Pick and place,78990,79359
Localisation,79359,79515
Execution,79515,79574
Tools selection,79990,80041
Adjust RIGHT hand pose,80103,80139
Adjust LEFT hand pose,80115,80151
Localisation,80041,80323
Execution,80323,80361
Localisation,80361,80435
Pick and place,80435,80517
Adjust RIGHT hand pose,80637,80663
Localisation,80589,80709
Pick and place,80709,81136
Localisation,81136,81248
Pick and place,81248,81791
Localisation,81791,81967
Execution,81967,82043
Adjust RIGHT hand pose,83123,83153
Tools selection,83049,83189
Adjust LEFT hand pose,83229,83257
Adjust LEFT hand pose,83291,83383
Adjust BASE pose,83459,83476
Adjust RIGHT hand pose,83520,83542
Localisation,83087,83620
Execution,83620,83688
Localisation,83688,83776
Pick and place,83776,83952
Localisation,84120,84162
Adjust BASE pose,84188,84210
Pick and place,84162,84243
Fail,84162,84243
Localisation,84243,84307
Pick and place,84307,84657
Adjust RIGHT hand pose,84715,84745
Adjust LEFT hand pose,84753,84791
Localisation,84657,84885
Execution,84885,84947
Tools selection,85233,85307
Adjust RIGHT hand pose,85334,85382
Adjust LEFT hand pose,85410,85526
Localisation,85285,85637
Execution,85285,85711
Localisation,85711,85777
Pick and place,85777,85888
Localisation,85980,86028
Pick and place,86028,86334
Localisation,86334,86530
Execution,86530,86576
Tools selection,87515,87649
Adjust RIGHT hand pose,87682,87718
Adjust LEFT hand pose,87758,87802
Localisation,87635,87957
Execution,87957,87999
Localisation,87999,88059
Pick and place,88059,88177
Adjust RIGHT hand pose,89927,89987
Tools selection,89843,90031
Adjust LEFT hand pose,90085,90127
Adjust BASE pose,90219,90243
Localisation,89885,90309
Execution,90309,90529
Localisation,90529,90601
Pick and place,90601,90679
Localisation,90811,90859
Pick and place,90859,91140
Localisation,91140,91310
Execution,91310,91410
Fail,91310,91410
Localisation,91410,91612
Pick and place,91612,91986
Localisation,91986,92156
Execution,92156,92442
Localisation,93000,93106
Pick and place,93106,93338
Localisation,93538,93582
Pick and place,93582,93750
Localisation,93750,93962
Execution,93962,94685
Tools selection,94916,95121
Adjust RIGHT hand pose,95206,95224
Adjust LEFT hand pose,95162,95422
Localisation,94916,95607
Execution,95607,95901
Localisation,95901,95955
Pick and place,95955,96059
Localisation,96139,96175
Pick and place,96175,96377
Adjust LEFT hand pose,96415,96435
Localisation,96377,96585
Execution,96585,96817
Adjust RIGHT hand pose,97203,97233
Tools selection,97107,97355
Adjust LEFT hand pose,97413,97465
Adjust BASE pose,97570,97586
Localisation,97149,97639
Pick and place,97639,97839
Localisation,97991,98078
Pick and place,98078,98312
Adjust LEFT hand pose,98344,98388
Localisation,98312,98480
Execution,98480,98773
Tools selection,99033,99109
Adjust LEFT hand pose,99160,99192
Adjust RIGHT hand pose,99156,99212
Adjust RIGHT hand pose,99340,99362
Localisation,99090,99422
Execution,99422,99537
Fail,99422,99537
Pick and place,100027,100374
Fail,100027,100374
Localisation,100374,100414
Pick and place,100414,100546
Localisation,100546,100698
Execution,100698,101315
Tools selection,101511,101613
Adjust RIGHT hand pose,101682,101740
Adjust LEFT hand pose,101694,101785
Localisation,101586,101888
Pick and place,101888,102096
Localisation,102214,102262
Pick and place,102262,102409
Localisation,102409,102521
Execution,102521,102683
Adjust LEFT hand pose,102981,103083
Tools selection,102877,103120
Adjust RIGHT hand pose,103155,103239
Localisation,102931,103313
Pick and place,103313,103490
Localisation,103546,103606
Pick and place,103606,103697
Localisation,103697,103791
Execution,103791,104073
Fail,103791,104073
Localisation,104073,104273
Pick and place,104273,104349
Localisation,104873,105149
Pick and place,105149,105187
Fail,105149,105187
Localisation,105187,105469
Pick and place,105469,105609
Fail,105469,105609
Localisation,105609,105839
Pick and place,105839,106513
Adjust RIGHT hand pose,106559,106587
Localisation,106513,106765
Pick and place,106765,106931
Adjust LEFT hand pose,106933,106990
Localisation,106931,107065
Execution,107065,107199
Fail,107065,107199
Localisation,107199,107297
Pick and place,107297,107381
Localisation,107381,107461
Pick and place,107461,108325
Localisation,108325,108445
Pick and place,108445,108943
Fail,108445,108943
Localisation,108943,109103
Execution,109103,109161
Localisation,109161,109201
Pick and place,109201,109368
Localisation,109368,109520
Execution,109520,109738
Tools selection,109998,110088
Adjust RIGHT hand pose,110130,110176
Adjust LEFT hand pose,110140,110198
Localisation,110078,110325
Pick and place,110325,110470
Localisation,110597,110647
Pick and place,110647,110815
Localisation,110815,110873
Execution,110873,111249
Tools selection,111756,111811
Adjust RIGHT hand pose,111849,111877
Localisation,111811,112417
Pick and place,112417,112705
Localisation,112705,112881
Execution,112881,113040
Localisation,113040,113082
Pick and place,113082,113204
Tools selection,113204,113349
Adjust RIGHT hand pose,113397,113517
Localisation,113349,113697
Execution,113697,114009
Tools selection,115909,115991
Adjust RIGHT hand pose,116001,116089
Adjust BASE pose,116116,116140
Localisation,115991,116190
Execution,116190,116341
Localisation,116341,116575
Execution,116575,116962
Tools selection,116962,117050
Adjust RIGHT hand pose,117094,117184
Localisation,117050,117242
Pick and place,117242,117318
Tools selection,117318,117391
Adjust LEFT hand pose,117455,117476
Adjust RIGHT hand pose,117417,117493
Localisation,117391,117601
Execution,117601,117743
Fail,117601,117743
Localisation,117743,117877
Adjust BASE pose,117743,118209
Tools selection,118209,118259
Adjust RIGHT hand pose,118295,118337
Adjust BASE pose,118343,118381
Localisation,118259,118388
Pick and place,118388,118469
Adjust BASE pose,118457,118617
Tools selection,118617,118684
Adjust LEFT hand pose,118730,118784
Adjust BASE pose,118858,118886
Localisation,118684,118906
Pick and place,118906,119087
Localisation,119741,119779
Pick and place,119779,120023
Adjust LEFT hand pose,120053,120104
Localisation,120023,120229
Execution,120229,120467
Localisation,120467,120543
Pick and place,120543,120735
Localisation,120735,120895
Execution,120895,120960
Localisation,120960,121104
Pick and place,121104,121304
Tools selection,121304,121445
Adjust RIGHT hand pose,121481,121641
Adjust BASE pose,121665,121717
Localisation,121445,121777
Execution,121777,122277
Tools selection,122849,122970
Adjust RIGHT hand pose,123015,123084
Adjust BASE pose,123110,123128
Adjust RIGHT hand pose,123150,123212
Localisation,122970,123340
Execution,123340,123704
Tools selection,123704,123796
Adjust RIGHT hand pose,123832,123884
Localisation,123796,123936
Pick and place,123936,124074
Tools selection,124074,124253
Adjust LEFT hand pose,124299,124337
Localisation,124253,124475
Execution,124475,124592
Localisation,124592,124670
Pick and place,124670,124805
Adjust LEFT hand pose,124881,124903
Adjust BASE pose,124941,124959
Localisation,124805,125003
Pick and place,125003,125247
Localisation,125767,125817
Adjust BASE pose,125865,125875
Pick and place,125817,126057
Execution,126057,126245
Localisation,126245,126335
Pick and place,126335,126861
Adjust LEFT hand pose,126917,126936
Adjust RIGHT hand pose,126917,126952
Localisation,126861,127043
Execution,127043,127189
Localisation,127189,127353
Pick and place,127353,127539
Tools selection,127539,127637
Adjust RIGHT hand pose,127653,127749
Adjust BASE pose,127777,127809
Localisation,127637,127898
Execution,127898,128151
