Sequence,Start,Stop
Tools selection,28657,28691
Adjust RIGHT hand pose,28691,28765
Localisation,28765,28869
Execution,28869,29163
Tools selection,29355,29403
Adjust RIGHT hand pose,29403,29503
Localisation,29503,29560
Pick and place,29560,29669
Tools selection,29881,29913
Tools selection,29957,29985
Fail,29985,30083
Adjust RIGHT hand pose,29913,30151
Localisation,30151,30267
Pick and place,30267,30669
Adjust BASE pose,30735,30853
Localisation,30883,30981
Fail,31199,31319
Pick and place,30981,31478
Tools selection,41139,41191
Adjust RIGHT hand pose,41191,41469
Localisation,41469,41545
Pick and place,41545,42437
Tools selection,42459,42503
Fail,42503,42747
Localisation,42747,42839
Execution,42839,43025
Adjust BASE pose,43061,43127
Localisation,43127,43217
Execution,43217,43327
Localisation,43327,43453
Pick and place,43453,43644
Tools selection,43814,43852
Adjust RIGHT hand pose,43852,43926
Localisation,43926,44044
Execution,44044,44572
Tools selection,58917,58965
Adjust RIGHT hand pose,58965,59061
Localisation,59061,59123
Execution,59123,59467
Adjust RIGHT hand pose,59555,59603
Localisation,59603,59691
Fail,59800,59836
Execution,59691,60191
Tools selection,60461,60509
Adjust RIGHT hand pose,60509,60573
Localisation,60573,60649
Execution,60649,60921
Adjust RIGHT hand pose,61027,61065
Localisation,61065,61137
Execution,61137,61393
Tools selection,61546,61578
Adjust RIGHT hand pose,61578,61658
Localisation,61658,61720
Execution,61720,61919
Localisation,62055,62111
Execution,62111,62508
Tools selection,62661,62689
Localisation,62689,62837
Fail,62918,63046
Execution,63046,63436
Tools selection,63564,63594
Adjust RIGHT hand pose,63594,63684
Localisation,63684,63800
Execution,63800,64152
Tools selection,64316,64368
Adjust RIGHT hand pose,64368,64436
Localisation,64436,64520
Execution,64520,64820
Localisation,64928,65006
Execution,65006,65264
Tools selection,65516,65550
Adjust RIGHT hand pose,65550,65616
Localisation,65616,65694
Execution,65694,65914
Localisation,66010,66132
Execution,66132,66428
Tools selection,66622,66662
Adjust RIGHT hand pose,66662,66722
Localisation,66722,66804
Execution,66804,67008
Localisation,67094,67200
Execution,67200,67426
Tools selection,67562,67594
Adjust RIGHT hand pose,67594,67646
Localisation,67646,67730
Execution,67730,67900
Localisation,67958,68024
Execution,68024,68284
Tools selection,69048,69078
Fail,69082,69150
Adjust RIGHT hand pose,69078,69242
Localisation,69242,69320
Execution,69320,69585
Tools selection,75637,75683
Adjust RIGHT hand pose,75683,75801
Localisation,75801,75872
Pick and place,75872,75990
Localisation,76204,76272
Pick and place,76272,76439
Tools selection,76859,76903
Adjust RIGHT hand pose,76903,76975
Localisation,76975,77001
Pick and place,77001,77099
Localisation,77157,77223
Pick and place,77223,77595
Tools selection,77665,77684
Adjust RIGHT hand pose,77684,77732
Localisation,77732,77813
Pick and place,77813,77911
Localisation,78007,78067
Pick and place,78067,78826
Tools selection,79010,79058
Tools selection,79198,79250
Adjust RIGHT hand pose,79250,79320
Localisation,79320,79386
Pick and place,79386,79465
Localisation,79595,79635
Pick and place,79666,79900
Tools selection,80164,80202
Adjust RIGHT hand pose,80202,80248
Localisation,80248,80311
