Sequence,Start,Stop
Adjust LEFT hand pose,86400,86500
Adjust RIGHT hand pose,86358,86560
Localisation,86566,86654
Execution,86654,86806
Pick and place,86854,86913
Localisation,86973,87047
Pick and place,87047,87217
Execution,87217,87821
Tools selection,86400,88241
Tools selection,88293,88372
Adjust RIGHT hand pose,88293,88385
Adjust LEFT hand pose,88396,88498
Localisation,88498,88580
Pick and place,88580,88936
Localisation,88936,89008
Pick and place,89008,89124
Tools selection,88396,90800
Adjust RIGHT hand pose,90848,90922
Tools selection,90848,90922
Adjust LEFT hand pose,90960,91094
Localisation,91094,91320
Pick and place,91454,91632
Localisation,91678,91733
Pick and place,91733,91991
Localisation,91991,92199
Execution,92199,92675
Tools selection,90960,92895
Adjust LEFT hand pose,93029,93175
Localisation,93275,93403
Pick and place,93463,93813
Localisation,94013,94113
Pick and place,94113,94401
Localisation,94485,94641
Execution,94641,94727
Tools selection,92943,95057
Adjust RIGHT hand pose,95081,95180
Tools selection,95081,95186
Adjust LEFT hand pose,95218,95300
Localisation,95300,95568
Pick and place,95568,95909
Localisation,95969,96071
Pick and place,96071,96357
Localisation,96357,96481
Execution,96481,98175
Tools selection,95218,98375
Adjust RIGHT hand pose,98405,98471
Tools selection,98405,98471
Adjust LEFT hand pose,98507,98635
Fail,98507,98635
Localisation,98635,98743
Pick and place,98743,98926
Localisation,98992,99048
Pick and place,99048,99176
Localisation,99176,99302
Execution,99302,99960
Fail,99302,99960
Adjust LEFT hand pose,99960,100126
Localisation,100126,100396
Execution,100396,100804
Tools selection,98507,101018
Adjust RIGHT hand pose,101046,101092
Adjust RIGHT hand pose,101092,101124
Adjust LEFT hand pose,101124,101190
Localisation,101190,101356
Pick and place,101356,101652
Localisation,101722,101772
Pick and place,101772,101899
Localisation,101899,102057
Execution,102057,102687
Tools selection,101046,102869
Adjust RIGHT hand pose,102887,102955
Tools selection,102887,102955
Adjust LEFT hand pose,102987,103048
Localisation,103074,103228
Pick and place,103228,103522
Localisation,103596,103634
Pick and place,103634,103744
Localisation,103744,103892
Execution,103892,104126
Tools selection,102987,104376
Localisation,104584,104738
Pick and place,104738,104962
Localisation,105188,105246
Pick and place,105246,105426
Localisation,105426,105726
Execution,105726,106060
Tools selection,104438,106486
Tools selection,106527,106705
Adjust RIGHT hand pose,106735,106787
Tools selection,106735,106787
Adjust LEFT hand pose,106821,106883
Localisation,106909,107075
Pick and place,107075,107421
Localisation,107487,107539
Pick and place,107539,107677
Localisation,107677,107815
Execution,107815,107921
Tools selection,106821,108965
Tools selection,109043,109069
Adjust RIGHT hand pose,109043,109099
Localisation,109127,109177
Pick and place,109177,109281
Adjust LEFT hand pose,109281,109597
Localisation,109659,109971
Execution,109971,110135
Localisation,110135,110247
Pick and place,110247,110569
Tools selection,109135,110623
Adjust RIGHT hand pose,110647,110735
Localisation,110735,110837
Execution,110837,111267
